Norway	2007	4627926	Europe	80.196	49357.19017
Kuwait	2007	2505559	Asia	77.588	47306.98978
Singapore	2007	4553009	Asia	79.972	47143.17964
United_States	2007	301139947	Americas	78.242	42951.65309
Ireland	2007	4109086	Europe	78.885	40675.99635
Hong_Kong,_China	2007	6980412	Asia	82.208	39724.97867
Switzerland	2007	7554661	Europe	81.701	37506.41907
Netherlands	2007	16570613	Europe	79.762	36797.93332
Canada	2007	33390141	Americas	80.653	36319.23501
Iceland	2007	301931	Europe	81.757	36180.78919
Congo,_Dem._Rep.	2007	64606759	Africa	46.462	277.5518587
Liberia	2007	3193942	Africa	45.678	414.5073415
Burundi	2007	8390505	Africa	49.58	430.0706916
Zimbabwe	2007	12311143	Africa	43.487	469.7092981
Guinea-Bissau	2007	1472041	Africa	46.388	579.231743
Niger	2007	12894865	Africa	56.867	619.6768924
Eritrea	2007	4906585	Africa	58.04	641.3695236
Ethiopia	2007	76511887	Africa	52.947	690.8055759
Central_African_Republic	2007	4369038	Africa	44.741	706.016537
Gambia	2007	1688359	Africa	59.448	752.7497265
